Wall time,Step,Value
1763362778.794649,288768,-2.4900739192962646
1763362786.895955,290816,-2.491908073425293
1763362794.8794384,292864,-2.4883909225463867
1763362803.3608346,294912,-2.491020917892456
1763362811.1672125,296960,-2.491831064224243
1763362819.212969,299008,-2.493016004562378
1763362827.626827,301056,-2.4925119876861572
1763362835.2222023,303104,-2.4929258823394775
1763362843.4476132,305152,-2.4922900199890137
1763362851.868789,307200,-2.490792989730835
1763362859.5701966,309248,-2.4925920963287354
1763362867.8984156,311296,-2.491676092147827
1763362876.3684735,313344,-2.4892690181732178
1763362883.9650733,315392,-2.4918429851531982
1763362892.4693694,317440,-2.4881510734558105
1763362900.850297,319488,-2.490178108215332
1763362908.4353347,321536,-2.491054058074951
1763362916.839632,323584,-2.4868240356445312
1763362925.1713471,325632,-2.491729974746704
1763362932.8576832,327680,-2.492614984512329
1763362941.2302804,329728,-2.491309881210327
1763362949.1710517,331776,-2.4836819171905518
1763362957.2269654,333824,-2.49190092086792
1763362965.6743734,335872,-2.4902091026306152
1763362973.375987,337920,-2.4861230850219727
1763362981.563766,339968,-2.4914140701293945
1763362990.008569,342016,-2.4893500804901123
1763362997.5743518,344064,-2.485382080078125
1763363005.7677941,346112,-2.4800961017608643
1763363014.2119572,348160,-2.484797954559326
1763363021.7741766,350208,-2.490283966064453
1763363030.1714008,352256,-2.4828240871429443
1763363038.5844173,354304,-2.482633113861084
1763363046.1388001,356352,-2.4870760440826416
1763363054.5816205,358400,-2.4911320209503174
1763363062.8594134,360448,-2.4922430515289307
1763363070.5100455,362496,-2.491489887237549
1763363078.9865687,364544,-2.492414951324463
1763363087.2018523,366592,-2.489046096801758
1763363094.9964042,368640,-2.4902169704437256
1763363103.3983774,370688,-2.492417097091675
1763363110.9373672,372736,-2.4908831119537354
1763363119.1151724,374784,-2.4912869930267334
1763363127.4907718,376832,-2.4928970336914062
1763363135.1873736,378880,-2.4899120330810547
1763363143.4530513,380928,-2.4931440353393555
1763363151.8760858,382976,-2.49180006980896
1763363159.5135164,385024,-2.4913530349731445
1763363167.884901,387072,-2.4938409328460693
1763363176.3008826,389120,-2.492685079574585
1763363183.848152,391168,-2.4932749271392822
1763363192.2072456,393216,-2.4932730197906494
1763363200.6659327,395264,-2.493489980697632
1763363208.2058244,397312,-2.4929440021514893
1763363216.625692,399360,-2.491580009460449
1763363224.669486,401408,-2.492237091064453
1763363232.518325,403456,-2.4899520874023438
1763363240.875551,405504,-2.4928250312805176
1763363248.6266851,407552,-2.492443084716797
1763363256.6717608,409600,-2.492561101913452
1763363265.0515385,411648,-2.4923911094665527
1763363272.596147,413696,-2.4919240474700928
1763363280.9035609,415744,-2.4913089275360107
1763363289.2399924,417792,-2.4917259216308594
1763363296.7762127,419840,-2.4876151084899902
1763363305.1344137,421888,-2.491835117340088
1763363313.5337846,423936,-2.4880928993225098
1763363321.1157777,425984,-2.491753101348877
1763363329.4431212,428032,-2.4886090755462646
1763363337.6010637,430080,-2.489788055419922
1763363345.3951516,432128,-2.488090991973877
1763363353.8141344,434176,-2.4907350540161133
1763363361.6918564,436224,-2.490216016769409
1763363369.632913,438272,-2.49182391166687
1763363378.1117876,440320,-2.491558074951172
1763363385.8933265,442368,-2.4925119876861572
1763363394.0773716,444416,-2.4915030002593994
1763363402.4054646,446464,-2.4893810749053955
1763363410.0321755,448512,-2.4924280643463135
1763363418.3665743,450560,-2.4914610385894775
1763363426.7502787,452608,-2.4888250827789307
1763363434.3439918,454656,-2.491441011428833
1763363442.8025188,456704,-2.487562894821167
1763363451.159993,458752,-2.4908881187438965
1763363458.7745385,460800,-2.4912960529327393
1763363467.1639512,462848,-2.4919519424438477
1763363475.4281585,464896,-2.487879991531372
1763363483.0728683,466944,-2.489569902420044
1763363491.3262353,468992,-2.4874730110168457
1763363499.3396075,471040,-2.4888389110565186
1763363507.1258419,473088,-2.4906389713287354
1763363515.406694,475136,-2.490895986557007
1763363523.2463448,477184,-2.4906699657440186
1763363531.1284022,479232,-2.49098801612854
1763363539.3920815,481280,-2.4900639057159424
1763363546.942527,483328,-2.487781047821045
1763363555.107372,485376,-2.4877419471740723
1763363563.4064271,487424,-2.490664005279541
1763363570.9403558,489472,-2.4909839630126953
1763363579.079443,491520,-2.4904210567474365
1763363587.343374,493568,-2.4909679889678955
1763363594.8345551,495616,-2.4877500534057617
1763363603.0050817,497664,-2.4903769493103027
1763363611.2474296,499712,-2.4875640869140625
1763363618.8856914,501760,-2.4897119998931885
1763363627.1517808,503808,-2.489748954772949
1763363635.3792226,505856,-2.4903769493103027
1763363642.9550247,507904,-2.4882171154022217
1763363651.192148,509952,-2.490530014038086
1763363659.4669182,512000,-2.490463972091675
1763363666.9282432,514048,-2.4908530712127686
1763363675.2241454,516096,-2.4900009632110596
1763363683.3401468,518144,-2.4876039028167725
1763363691.0352125,520192,-2.490046977996826
1763363699.3699813,522240,-2.4900059700012207
1763363707.426166,524288,-2.4876348972320557
1763363715.162117,526336,-2.4897079467773438
1763363723.4025164,528384,-2.4896559715270996
1763363731.13962,530432,-2.4876999855041504
1763363739.079395,532480,-2.4876630306243896
1763363747.3337734,534528,-2.488447904586792
1763363754.8773887,536576,-2.4873769283294678
1763363762.9626637,538624,-2.4881699085235596
1763363771.228819,540672,-2.484649896621704
1763363778.8991747,542720,-2.4871859550476074
1763363787.0176134,544768,-2.4879279136657715
1763363795.3232696,546816,-2.490612030029297
1763363802.8705485,548864,-2.4877219200134277
1763363811.0622706,550912,-2.4882750511169434
1763363819.2737303,552960,-2.490807056427002
1763363826.8229961,555008,-2.486809015274048
1763363835.0603755,557056,-2.489269971847534
1763363843.348458,559104,-2.489799976348877
1763363850.8586528,561152,-2.4895880222320557
1763363859.2394907,563200,-2.490086078643799
1763363867.513178,565248,-2.48909592628479
1763363875.0523102,567296,-2.4897539615631104
1763363883.348711,569344,-2.4904959201812744
